id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40244268,Cottage in Port Campbell · ★5.0 · 3 bedrooms · 4 beds · 1 bath,43144291,Olivia,,Corangamite,-38.61028,143.00226,Entire home/apt,680,3,9,2022-01-06,0.21,2,18,0,
40263028,Home in Indented Head · ★4.89 · 4 bedrooms · 6 beds · 2 baths,310995481,James,,Greater Geelong,-38.12751,144.69877,Entire home/apt,750,4,9,2021-04-05,0.21,1,178,0,
40263943,Townhouse in Ocean Grove · ★4.89 · 2 bedrooms · 3 beds · 2 baths,40453143,Anthony,,Greater Geelong,-38.25735,144.54962,Entire home/apt,280,4,9,2022-01-02,0.21,1,0,0,
40265650,Rental unit in Ocean Grove · ★4.94 · 4 bedrooms · 5 beds · 2.5 baths,91435876,Stay Exclusive,,Greater Geelong,-38.2665,144.52136,Entire home/apt,261,2,33,2023-04-30,0.77,6,351,3,
40283944,Home in Torquay · ★5.0 · 3 bedrooms · 5 beds · 1 bath,169780895,Ryan,,Surf Coast,-38.30969,144.33882,Entire home/apt,800,3,6,2022-12-27,0.14,1,0,1,
40297815,Farm stay in Sugarloaf · ★4.73 · 1 bedroom · 1 bed · 2 shared baths,10814850,Sam,,Colac Otway,-38.69321,143.80451,Private room,75,1,45,2023-06-12,1.03,26,96,24,
40332111,Home in Torquay · ★4.89 · 3 bedrooms · 6 beds · 1 bath,124345891,Mary,,Surf Coast,-38.32496,144.31987,Entire home/apt,400,3,35,2022-01-29,0.82,1,138,0,
40337893,Home in Ocean Grove · ★5.0 · 4 bedrooms · 5 beds · 2 baths,71929899,Yvette,,Greater Geelong,-38.23915,144.54718,Entire home/apt,200,4,5,2022-01-16,0.17,1,0,0,
40354620,Guest suite in Killarney · ★4.93 · 1 bedroom · 1 bed · 1 private bath,107389523,Helen,,Moyne,-38.34782,142.34391,Private room,150,2,76,2023-06-12,1.77,2,13,14,
40377045,Home in Marengo · ★4.80 · 4 bedrooms · 6 beds · 2 baths,159878976,Peter,,Colac Otway,-38.77847,143.66037,Entire home/apt,1800,1,5,2023-04-08,0.18,14,0,2,
40378701,Home in Skenes Creek · ★4.64 · 3 bedrooms · 4 beds · 1 bath,84586909,Great Ocean Road Holidays,,Colac Otway,-38.72304,143.71378,Entire home/apt,236,2,36,2022-09-23,1.11,624,320,4,
40378725,Townhouse in Skenes Creek · ★4.71 · 3 bedrooms · 5 beds · 3 baths,84586909,Great Ocean Road Holidays,,Colac Otway,-38.72298,143.71333,Entire home/apt,366,2,38,2023-05-07,0.88,624,245,10,
40378728,Home in Apollo Bay · 3 bedrooms · 4 beds · 2 baths,84586909,Great Ocean Road Holidays,,Colac Otway,-38.74694,143.66842,Entire home/apt,255,2,1,2023-01-04,0.17,624,321,1,
40378798,Rental unit in Apollo Bay · 3 bedrooms · 4 beds · 2 baths,84586909,Great Ocean Road Holidays,,Colac Otway,-38.75988,143.67218,Entire home/apt,424,2,0,,,624,306,0,
40378808,Home in Wyelangta · ★4.57 · 3 bedrooms · 5 beds · 2 baths,84586909,Great Ocean Road Holidays,,Colac Otway,-38.66317,143.44756,Entire home/apt,313,2,7,2022-09-12,0.17,624,0,1,
40378816,Home in Apollo Bay · ★4.33 · 3 bedrooms · 4 beds · 1 bath,84586909,Great Ocean Road Holidays,,Colac Otway,-38.74975,143.66464,Entire home/apt,228,2,18,2022-03-19,0.49,624,321,0,
40409862,Farm stay in Apollo Bay · ★4.98 · 2 bedrooms · 2 beds · 1 bath,139347924,Corinna,,Colac Otway,-38.77038,143.64617,Entire home/apt,200,1,201,2023-05-22,4.70,1,246,61,
40410447,Guest suite in Lara · ★4.95 · 1 bedroom · 2 beds · 1 bath,211808422,Julie,,Greater Geelong,-38.00849,144.40875,Entire home/apt,169,5,112,2023-05-27,2.60,3,362,16,
40427843,Home in Torquay · ★4.88 · 1 bedroom · 1 bed · 1 private bath,312459619,Carole,,Surf Coast,-38.30836,144.32963,Private room,119,1,390,2023-06-11,8.95,1,58,106,
40427881,Home in Warrnambool · ★4.80 · 3 bedrooms · 3 beds · 1 bath,148881983,Katherine,,Warrnambool,-38.39247,142.50383,Entire home/apt,650,3,5,2021-05-06,0.12,1,0,0,
40429746,Home in Anglesea · ★5.0 · 1 bedroom · 1 bed · 1 bath,139321767,Lila,,Surf Coast,-38.41277,144.178,Entire home/apt,400,2,14,2022-03-13,0.32,2,0,0,
40433019,Home in Lorne · ★4.80 · 2 bedrooms · 2 beds · 2 baths,32797761,Lorne Holiday,,Surf Coast,-38.533432,143.970947,Entire home/apt,447,2,70,2023-06-12,1.64,22,282,26,
40473519,Home in Skenes Creek · 4 bedrooms · 4 beds · 3 baths,84586909,Great Ocean Road Holidays,,Colac Otway,-38.72532,143.7074,Entire home/apt,518,2,1,2021-04-14,0.04,624,353,0,
40488790,Home in Ocean Grove · ★4.70 · 4 bedrooms · 5 beds · 2 baths,32866713,Stephanie & Matthew,,Greater Geelong,-38.2583,144.53223,Entire home/apt,186,2,115,2023-06-11,2.70,1,171,32,
40494504,Rental unit in Apollo Bay · ★4.90 · 2 bedrooms · 2 beds · 1 bath,91374972,Bernadette,,Colac Otway,-38.75178,143.66615,Entire home/apt,232,2,118,2023-05-21,2.75,1,88,25,
40497004,Townhouse in Warrnambool · ★4.89 · 3 bedrooms · 3 beds · 2 baths,61015516,Nathan,,Warrnambool,-38.37371,142.49795,Entire home/apt,180,2,66,2023-06-12,1.55,1,0,22,
40514443,Townhouse in QUEENSCLIFF · ★4.67 · 2 bedrooms · 2 beds · 2 baths,129945846,Queenscliff And Coastal,,Queenscliffe,-38.26611,144.66109,Entire home/apt,394,1,4,2023-03-13,0.09,63,363,1,
40516358,Townhouse in Barwon Heads · ★5.0 · 3 bedrooms · 6 beds · 1 bath,150553138,Sharon,,Greater Geelong,-38.27887,144.49075,Entire home/apt,250,2,6,2023-01-12,0.14,1,111,2,
40517624,Home in Port Campbell · ★4.82 · 4 bedrooms · 4 beds · 2 baths,158373639,Jayde,,Corangamite,-38.62173,142.99844,Entire home/apt,594,1,50,2023-06-17,1.15,18,258,14,
40531934,Home in Torquay · 2 bedrooms · 3 beds · 1 bath,106970890,Amie,,Surf Coast,-38.33177,144.30741,Entire home/apt,750,5,1,2020-01-02,0.02,1,0,0,
40539030,Home in Queenscliff · ★4.67 · 4 bedrooms · 5 beds · 1.5 baths,98096620,Kerleys Coastal Holidays,,Queenscliffe,-38.27203,144.65256,Entire home/apt,402,2,30,2023-05-27,0.81,78,151,10,
40543358,Home in Jan Juc · 3 bedrooms · 3 beds · 2 baths,274598773,Jess,,Surf Coast,-38.35233,144.29156,Entire home/apt,490,4,2,2021-01-17,0.07,1,0,0,
40543909,Home in Torquay · 4 bedrooms · 3 beds · 2 baths,184187902,Josh,,Surf Coast,-38.30759,144.3422,Entire home/apt,450,5,2,2021-01-17,0.07,1,0,0,
40547377,Guest suite in Portland · ★5.0 · Studio · 2 beds · 1 bath,1348455,Tracey,,Glenelg,-38.36471,141.60382,Entire home/apt,73,2,15,2021-03-07,0.35,2,120,0,
40548927,Home in Ocean Grove · ★4.83 · 3 bedrooms · 4 beds · 3 baths,149021724,Luiza,,Greater Geelong,-38.26086,144.51705,Entire home/apt,270,3,6,2020-01-22,0.14,1,108,0,
40549136,Home in Jan Juc · ★4.86 · 3 bedrooms · 4 beds · 1 bath,15466640,Jess,,Surf Coast,-38.34287,144.29929,Entire home/apt,407,1,7,2023-01-10,0.16,1,181,2,
40562903,Home in Timboon · ★4.97 · 4 bedrooms · 5 beds · 2 baths,93034758,Leanne,,Corangamite,-38.47798,142.96651,Entire home/apt,270,1,30,2023-05-21,0.83,3,244,14,
40563509,Home in Jan Juc · ★3.25 · 4 bedrooms · 5 beds · 2 baths,51748440,Reservations Team,,Surf Coast,-38.340233,144.300217,Entire home/apt,508,2,4,2021-01-09,0.10,118,181,0,
40566215,Guest suite in Port Campbell · ★4.99 · 1 bedroom · 1 bed · 1 bath,313644419,Barbara,,Corangamite,-38.62071,142.99772,Entire home/apt,120,1,259,2023-06-24,6.25,1,19,117,
40567145,Home in Portarlington · ★4.76 · 3 bedrooms · 3 beds · 1 bath,282281252,Tammy,,Greater Geelong,-38.12034,144.63899,Entire home/apt,200,2,70,2023-04-23,1.64,1,352,11,
40567348,Home in Port Fairy · ★4.60 · 3 bedrooms · 4 beds · 1 bath,68601670,Langleys Accommodation,,Moyne,-38.388859,142.221603,Entire home/apt,234,2,10,2023-01-21,0.27,113,170,1,
40592946,Guesthouse in Mepunga West · ★4.75 · 1 bedroom · 3 beds · 1 bath,57688641,Wendy,,Moyne,-38.42551,142.6482,Entire home/apt,120,1,52,2023-05-17,1.22,2,351,11,
40602872,Home in Ocean Grove · ★4.92 · 3 bedrooms · 3 beds · 2.5 baths,212573803,Cameron,,Greater Geelong,-38.25427,144.50786,Entire home/apt,595,3,12,2023-01-26,0.28,1,179,2,
40617226,Rental unit in Torquay · ★4.57 · 3 bedrooms · 3 beds · 2 baths,39878041,Melissa,,Surf Coast,-38.30997,144.34809,Entire home/apt,650,5,7,2023-01-12,0.17,1,127,1,
40621943,Home in Ocean Grove · ★4.89 · 2 bedrooms · 3 beds · 1 bath,5311332,Karen,,Greater Geelong,-38.26604,144.51878,Entire home/apt,275,6,37,2023-03-13,0.87,1,363,6,
40641178,Home in Wye River · ★4.88 · 3 bedrooms · 3 beds · 2 baths,84586909,Great Ocean Road Holidays,,Colac Otway,-38.63055,143.88979,Entire home/apt,403,2,16,2023-04-10,0.56,624,179,6,
40643366,Home in Barwon Heads · ★4.65 · 4 bedrooms · 4 beds · 1 bath,310007365,Chris,,Greater Geelong,-38.26718,144.49385,Entire home/apt,350,2,20,2022-01-25,0.47,1,322,0,
40656369,Rental unit in Torquay · ★4.63 · 2 bedrooms · 5 beds · 1 bath,315170754,Lori,,Surf Coast,-38.32575,144.31634,Entire home/apt,191,2,97,2023-04-30,2.27,1,181,31,
40656751,Home in Apollo Bay · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,39175909,Raelene,,Colac Otway,-38.74832,143.6637,Entire home/apt,300,2,39,2023-04-23,0.92,3,0,5,
40659781,Home in Ocean Grove · 5 bedrooms · 8 beds · 1.5 baths,114747712,Nicole,,Greater Geelong,-38.25755,144.53135,Entire home/apt,850,5,0,,,1,356,0,
40660668,Farm stay in Elingamite North · ★4.92 · 1 bedroom · 1 bed · 1 bath,314531274,Linda,,Corangamite,-38.33339,142.98221,Entire home/apt,85,1,223,2023-06-14,5.28,1,301,67,
40677682,Home in Lorne · ★4.75 · 2 bedrooms · 3 beds · 1 bath,84586909,Great Ocean Road Holidays,,Surf Coast,-38.55064,143.98393,Entire home/apt,318,2,4,2020-11-26,0.09,624,146,0,
