id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20506525,Home in Mount Martha ?? ???4.96 ?? 4 bedrooms ?? 8 beds ?? 3 baths,38401563,HostAbout,,Mount Martha,-38.296066,144.985992,Entire home/apt,1043,2,77,14/04/2023,1.13,26,350,11,
20511254,Home in Dromana ?? ???4.95 ?? 3 bedrooms ?? 3 beds ?? 2 baths,110429825,Zane,,Dromana,-38.33307,144.97371,Entire home/apt,469,2,20,21/01/2023,0.29,1,245,1,
20528776,Home in Rye ?? ???4.87 ?? 4 bedrooms ?? 10 beds ?? 2 baths,23924917,Angela,,Point Nepean,-38.39376,144.80947,Entire home/apt,564,2,102,3/06/2023,1.51,1,321,19,
20605237,Home in Mount Martha ?? ???4.85 ?? 3 bedrooms ?? 4 beds ?? 2 baths,147255622,Nina,,Mount Martha,-38.24943,145.02781,Entire home/apt,795,1,87,18/04/2023,1.33,1,0,12,
20608437,Home in Mount Martha ?? ???4.91 ?? 4 bedrooms ?? 5 beds ?? 2.5 baths,147287608,Fay,,Mount Martha,-38.28515,145.0011,Entire home/apt,800,2,23,14/04/2022,0.34,1,109,0,
20646257,Home in Blairgowrie ?? ???4.61 ?? 3 bedrooms ?? 5 beds ?? 2 baths,24708253,Jennifer,,Point Nepean,-38.37372,144.78678,Entire home/apt,170,6,18,8/02/2020,0.27,1,0,0,
20732348,Home in Blairgowrie ?? ???4.97 ?? 4 bedrooms ?? 7 beds ?? 2 baths,33397979,Beach House Rentals,,Point Nepean,-38.38267,144.78389,Entire home/apt,960,2,33,11/02/2023,0.61,67,312,8,
20732889,Home in Dromana ?? ???4.81 ?? 3 bedrooms ?? 4 beds ?? 1.5 baths,113210425,Kern & Hema,,Dromana,-38.34112,144.97366,Entire home/apt,199,2,200,7/04/2023,2.88,1,243,21,
20750322,Home in Mount Martha ?? 4 bedrooms ?? 5 beds ?? 2 baths,41668222,Mornington Peninsula Holiday Accomm,,Flinders,-38.416672,145.075912,Entire home/apt,971,2,2,13/01/2018,0.03,71,131,0,
20776195,Home in Mount Martha ?? ???4.92 ?? 4 bedrooms ?? 7 beds ?? 2 baths,148877432,Denise & Richard,,Mount Martha,-38.26183,145.02031,Entire home/apt,550,2,37,10/04/2023,0.53,1,88,3,
20821280,Home in Mount Martha ?? ???4.94 ?? 4 bedrooms ?? 6 beds ?? 3 baths,149342495,Lisa,,Mount Martha,-38.27835,145.00571,Entire home/apt,543,2,68,10/04/2023,0.97,1,328,6,
20821664,Cottage in Capel Sound ?? ???4.93 ?? 3 bedrooms ?? 6 beds ?? 2 baths,6566545,Nikki,,Rosebud - McCrae,-38.37049,144.88231,Entire home/apt,194,2,130,24/04/2023,1.96,1,338,23,
20835357,Home in Red Hill ?? ???5.0 ?? 4 bedrooms ?? 8 beds ?? 3 baths,21434078,Gina,,Flinders,-38.34959,145.01104,Entire home/apt,2036,2,30,21/05/2023,0.61,2,272,7,
20849257,Home in Sorrento ?? ???4.67 ?? 4 bedrooms ?? 7 beds ?? 2 baths,149620807,Peta,,Point Nepean,-38.34802,144.74563,Entire home/apt,1000,2,4,25/12/2021,0.06,1,362,0,
20864650,Home in Mornington ?? ???5.0 ?? 6 bedrooms ?? 7 beds ?? 3 baths,149769296,Melinda,,Mornington - East,-38.23985,145.06506,Entire home/apt,720,7,7,3/01/2023,0.12,1,196,1,
20879256,Home in Mount Martha ?? ???4.83 ?? 3 bedrooms ?? 3 beds ?? 2 baths,59520479,Pete,,Mount Martha,-38.2504,145.03151,Entire home/apt,495,2,6,21/02/2023,0.83,1,42,6,
20886874,Home in Rye ?? ???4.58 ?? 4 bedrooms ?? 4 beds ?? 2 baths,117708201,Mary,,Point Nepean,-38.3729,144.80259,Entire home/apt,700,2,19,17/04/2022,0.29,1,178,0,
20887031,Home in Blairgowrie ?? ???4.63 ?? 3 bedrooms ?? 3 beds ?? 2 baths,11281469,Laura,,Point Nepean,-38.3735,144.77707,Entire home/apt,170,10,16,5/04/2021,0.24,1,173,0,
20893328,Home in Dromana ?? 4 bedrooms ?? 5 beds ?? 2 baths,57458984,Majed,,Dromana,-38.34636,144.9618,Entire home/apt,600,5,2,16/03/2018,0.03,2,269,0,
20909915,Home in Mount Martha ?? ???4.79 ?? 4 bedrooms ?? 7 beds ?? 2.5 baths,150256635,Margot,,Mount Martha,-38.28756,144.99545,Entire home/apt,522,2,67,26/03/2023,0.96,1,342,10,
20920884,Home in Mount Martha ?? 5 bedrooms ?? 6 beds ?? 3.5 baths,24814727,Holiday Shacks,,Mount Martha,-38.28855,145.00479,Entire home/apt,2233,2,0,,,45,334,0,
20921459,Home in Sorrento ?? ???4.64 ?? 3 bedrooms ?? 8 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.34435,144.73929,Entire home/apt,310,2,22,19/02/2023,0.34,83,0,5,
20921487,Home in Safety Beach ?? ???4.48 ?? 4 bedrooms ?? 8 beds ?? 2 baths,141449561,Vicki,,Dromana,-38.31605,144.98983,Entire home/apt,402,2,21,29/01/2023,0.32,83,346,2,
20921494,Home in Saint Andrews Beach ?? ???4.63 ?? 4 bedrooms ?? 4 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.43131,144.84805,Entire home/apt,613,2,52,25/01/2023,0.76,83,39,7,
20921501,Home in Blairgowrie ?? ???4.50 ?? 3 bedrooms ?? 5 beds ?? 1 bath,141449561,Vicki,,Point Nepean,-38.37009,144.77925,Entire home/apt,311,2,10,25/09/2022,0.19,83,349,1,
20921518,Villa in Blairgowrie ?? ???5.0 ?? 2 bedrooms ?? 3 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.36289,144.77971,Entire home/apt,505,2,13,9/01/2023,0.19,83,343,2,
20921529,Villa in Blairgowrie ?? ???4.80 ?? 2 bedrooms ?? 3 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.36289,144.77971,Entire home/apt,462,2,10,20/12/2022,0.16,83,349,1,
20921538,Villa in Blairgowrie ?? ???4.83 ?? 2 bedrooms ?? 2 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.36289,144.77971,Entire home/apt,462,2,6,27/11/2022,0.1,83,345,1,
20921598,Home in Rye ?? ???5.0 ?? 3 bedrooms ?? 4 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.38494,144.8181,Entire home/apt,254,2,3,17/01/2021,0.07,83,161,0,
20921618,Home in Blairgowrie ?? ???4.65 ?? 4 bedrooms ?? 9 beds ?? 3 baths,141449561,Vicki,,Point Nepean,-38.36315,144.78374,Entire home/apt,566,2,47,3/12/2022,0.73,83,293,3,
20921625,Home in Blairgowrie ?? ???4.75 ?? 3 bedrooms ?? 3 beds ?? 1 bath,141449561,Vicki,,Point Nepean,-38.36271,144.78333,Entire home/apt,345,2,8,22/01/2022,0.12,83,113,0,
20921644,Villa in Blairgowrie ?? ???3.67 ?? 2 bedrooms ?? 5 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.36289,144.77971,Entire home/apt,594,2,3,1/11/2021,0.05,83,184,0,
20921673,Home in Sorrento ?? ???4.93 ?? 4 bedrooms ?? 6 beds ?? 3 baths,141449561,Vicki,,Point Nepean,-38.35209,144.75069,Entire home/apt,555,2,14,16/07/2022,0.21,83,317,1,
20921677,Villa in Blairgowrie ?? ???4.63 ?? 3 bedrooms ?? 4 beds ?? 1 bath,141449561,Vicki,,Point Nepean,-38.36663,144.77864,Entire home/apt,429,2,8,13/03/2021,0.12,83,39,0,
20921693,Home in Blairgowrie ?? ???4.36 ?? 4 bedrooms ?? 8 beds ?? 3 baths,141449561,Vicki,,Point Nepean,-38.36596,144.78681,Entire home/apt,493,2,44,23/04/2023,0.64,83,327,5,
20921806,Home in Portsea ?? ???4.67 ?? 5 bedrooms ?? 9 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.32075,144.71366,Entire home/apt,560,2,14,11/02/2023,0.26,83,307,1,
20921811,Home in Saint Andrews Beach ?? ???4.65 ?? 4 bedrooms ?? 5 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.42141,144.83248,Entire home/apt,667,2,41,11/03/2023,0.63,83,322,8,
20921822,Home in Rye ?? ???4.67 ?? 3 bedrooms ?? 4 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.37878,144.79213,Entire home/apt,290,2,3,20/02/2022,0.06,83,350,0,
20921837,Home in Sorrento ?? ???4.75 ?? 4 bedrooms ?? 4 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.34141,144.73753,Entire home/apt,372,2,37,21/05/2023,0.57,83,242,14,
20921939,Home in Blairgowrie ?? ???4.22 ?? 1 bedroom ?? 2 beds ?? 1 bath,141449561,Vicki,,Point Nepean,-38.36697,144.78021,Entire home/apt,270,2,45,13/05/2023,0.66,83,324,16,
