id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42258391,Home in Byron Bay · ★4.84 · 3 bedrooms · 4 beds · 2.5 baths,92213680,East Coast Escapes,,BYRON SHIRE COUNCIL,-28.6396226,153.6283781,Entire home/apt,719,3,31,2023-05-08,0.78,51,254,5,PID-STRA-37475
42259375,Rental unit in Cabarita Beach · ★5.0 · 2 bedrooms · 2 beds · 2 baths,172456810,Dream Casa Properties,,TWEED SHIRE COUNCIL,-28.33304,153.56992,Entire home/apt,412,2,4,2022-01-06,0.10,8,89,0,PID-STRA-23585-2
42259776,Home in Ewingsdale · 5 bedrooms · 6 beds · 3 baths,152421180,Your Luxury,,BYRON SHIRE COUNCIL,-28.659389,153.620239,Entire home/apt,1642,90,0,,,94,169,0,PID-STRA-34205
42261824,Home in Round Mountain · ★4.98 · 4 bedrooms · 4 beds · 3.5 baths,14150522,Nick,,TWEED SHIRE COUNCIL,-28.361371994018555,153.54934692382812,Entire home/apt,450,3,42,2023-06-09,1.19,1,153,13,PID-STRA-7190
42262941,Home in Byron Bay · ★4.86 · 12 bedrooms · 3 beds · 3 baths,10710406,Alex,,BYRON SHIRE COUNCIL,-28.64085,153.60678,Entire home/apt,800,1,7,2022-10-10,0.22,6,154,2,Exempt
42314542,Farm stay in Ewingsdale · ★4.94 · 1 bedroom · 1 bed · 1 bath,171917991,Kylie,,BYRON SHIRE COUNCIL,-28.6176,153.54341,Entire home/apt,249,2,35,2023-05-06,1.90,1,175,21,Exempt
42362341,Boutique hotel in Brunswick Heads · ★4.89 · 18 bedrooms · 1 bed · 1 private bath,336949965,The Brunswick,,BYRON SHIRE COUNCIL,-28.53667,153.5486,Private room,304,1,35,2023-06-10,0.98,5,177,24,Exempt
42366598,Farm stay in Woodlawn · ★4.91 · 2 bedrooms · 2 beds · 1 bath,213236128,Jeri,,LISMORE CITY COUNCIL,-28.75408,153.32094,Entire home/apt,150,3,22,2022-02-06,0.61,3,0,0,Exempt
42367793,Home in Byron Bay · ★4.93 · 3 bedrooms · 4 beds · 3 baths,201425692,Meg,,BYRON SHIRE COUNCIL,-28.64619,153.61485,Entire home/apt,681,4,58,2023-05-12,1.58,15,319,17,PID-STRA-31644
42387124,Home in Possum Creek · ★4.36 · 5 bedrooms · 5 beds · 3 baths,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.65445,153.49075,Entire home/apt,1314,3,11,2022-07-25,0.34,151,282,2,PID-STRA-31213
42387658,Guesthouse in Mullumbimby · ★5.0 · 1 bedroom · 1 bath,33343077,Shaz,,BYRON SHIRE COUNCIL,-28.55583,153.50066,Entire home/apt,150,90,4,2020-07-27,0.10,1,179,0,
42419451,Home in Myocum · 3 bedrooms · 3 beds · 1 bath,138657755,Rachel,,BYRON SHIRE COUNCIL,-28.60209,153.50126,Entire home/apt,400,90,2,2021-01-03,0.05,1,88,0,
42434241,Home in Mullumbimby · 3 bedrooms · 3 beds · 2 baths,19995347,Nicole,,BYRON SHIRE COUNCIL,-28.55282,153.50753,Entire home/apt,498,90,0,,,2,40,0,PID-STRA-32594
42439347,Home in Pottsville · ★4.70 · 5 bedrooms · 8 beds · 2 baths,22226714,Roger,,TWEED SHIRE COUNCIL,-28.38237,153.56956,Entire home/apt,486,2,20,2022-12-08,0.50,1,245,2,PID-STRA-3666
42456217,Cottage in Federal · ★4.99 · 2 bedrooms · 2 beds · 1 bath,338018980,Craig & Nicole,,BYRON SHIRE COUNCIL,-28.68079,153.47445,Entire home/apt,425,2,69,2023-06-11,1.92,1,286,20,PID-STRA-30496
42458905,Guest suite in Brooms Head · ★4.94 · 1 bedroom · 2 beds · 1 bath,158665246,Jenny,,CLARENCE VALLEY COUNCIL,-29.60225,153.33077,Entire home/apt,97,3,16,2023-06-03,0.40,1,342,10,PID-STRA-17740-5
42496216,Rental unit in Suffolk Park · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,24052820,Joanne,,BYRON SHIRE COUNCIL,-28.67699,153.61015,Private room,106,90,4,2021-03-05,0.13,5,0,0,
42496795,Tiny home in Skinners Shoot · 1 bedroom · 1 bed · 1 bath,20571819,Alice,,BYRON SHIRE COUNCIL,-28.66332,153.57882,Entire home/apt,112,90,1,2020-03-16,0.03,1,0,0,
42519590,Home in Skennars Head · 3 bedrooms · 3 beds · 3 baths,3563698,A Perfect Stay,,BALLINA SHIRE COUNCIL,-28.82127,153.58415,Entire home/apt,817,90,0,,,21,124,0,PID-STRA-33756
42522683,Guest suite in Meerschaum Vale · ★4.91 · 1 bedroom · 1 bed · 1 bath,213023937,Nathan,,BALLINA SHIRE COUNCIL,-28.89944,153.44365,Entire home/apt,70,90,33,2021-04-11,0.83,1,83,0,
42542477,Rental unit in Kingscliff · ★5.0 · 3 bedrooms · 4 beds · 2 baths,192774381,Kingscliff Accommodation,,TWEED SHIRE COUNCIL,-28.27624,153.5793,Entire home/apt,685,3,3,2023-02-09,0.11,94,171,1,Exempt
42544211,Home in Lennox Head · 4 bedrooms · 4 beds · 3 baths,47804701,Lois Buckett Real Estate,,BALLINA SHIRE COUNCIL,-28.79324,153.59325,Entire home/apt,777,3,1,2022-04-25,0.07,46,179,0,PID-STRA-744
42564987,Rental unit in East Ballina · ★4.90 · 3 bedrooms · 4 beds · 2 baths,190217827,Tess,,BALLINA SHIRE COUNCIL,-28.86328,153.58888,Entire home/apt,334,3,10,2023-06-08,0.28,57,172,6,PID-STRA-18810
42565756,Home in Casuarina · 3 bedrooms · 3 beds · 3 baths,339063360,Tulsi,,TWEED SHIRE COUNCIL,-28.30109,153.57201,Entire home/apt,1050,7,2,2021-01-03,0.06,1,0,0,PID-STRA-23127
42566476,Home in Lennox Head · 4 bedrooms · 5 beds · 2 baths,24597372,Claire,,BALLINA SHIRE COUNCIL,-28.81555,153.58433,Entire home/apt,604,5,1,2023-01-02,0.18,1,0,1,PID-STRA-43320
42589153,Villa in East Ballina · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,111860933,Lindy Lou,,BALLINA SHIRE COUNCIL,-28.85402,153.58854,Private room,90,2,18,2022-04-18,0.45,2,0,0,
42589833,Villa in Byron Bay · 6 bedrooms · 6 beds · 5 baths,174307905,Luxico,,BYRON SHIRE COUNCIL,-28.63711,153.63455,Entire home/apt,3245,1,0,,,43,363,0,PID-STRA-32591
42628897,Home in Federal · ★5.0 · 3 bedrooms · 3 beds · 2 baths,64992819,Freya,,BYRON SHIRE COUNCIL,-28.65158,153.45694,Entire home/apt,650,90,6,2021-01-03,0.17,1,0,0,
42668396,Home in Wooli · ★4.74 · 2 bedrooms · 3 beds · 2 baths,6414412,Melanie,,CLARENCE VALLEY COUNCIL,-29.87465,153.26456,Entire home/apt,295,3,114,2023-05-28,2.85,8,275,33,PID-STRA-1638
42668551,Home in South Golden Beach · ★5.0 · 4 bedrooms · 4 beds · 3 baths,339918405,Andrea,,BYRON SHIRE COUNCIL,-28.49572,153.54936,Entire home/apt,384,2,40,2023-05-07,1.26,1,165,2,PID-STRA-31192
42691254,Rental unit in Byron Bay · ★4.89 · 1 bedroom · 2 beds · 1 bath,7112176,Wolfgang,,BYRON SHIRE COUNCIL,-28.65012,153.61855,Entire home/apt,190,90,28,2022-10-11,0.71,2,0,2,PID-STRA-29146
42692130,Home in Goonengerry · 4 bedrooms · 4 beds · 3 baths,152421180,Your Luxury,,BYRON SHIRE COUNCIL,-28.631779,153.4254,Entire home/apt,2250,2,0,,,94,362,0,PID-STRA-34734
42692767,Home in Byron Bay · ★4.42 · 1 bedroom · 6 beds · 3 baths,14657166,Byron Bay,,BYRON SHIRE COUNCIL,-28.65255,153.61671,Entire home/apt,591,3,12,2023-04-30,0.34,6,341,4,PID-STRA-32520
42696188,Home in Bogangar · ★4.98 · 3 bedrooms · 3 beds · 3 baths,101790925,Ingrid,,TWEED SHIRE COUNCIL,-28.32746,153.55798,Entire home/apt,564,2,55,2023-04-10,1.56,7,191,13,PID-STRA-5537
42700103,Cottage in Rileys Hill · ★4.90 · 1 bedroom · 2 beds · 1 bath,2433932,Ainslie,,RICHMOND VALLEY COUNCIL,-29.01053,153.39745,Entire home/apt,115,1,138,2023-06-03,3.90,1,85,61,PID-STRA-11481-2
42716885,Boutique hotel in Brunswick Heads · ★4.73 · 1 bedroom · 1 bed · 1 private bath,336949965,The Brunswick,,BYRON SHIRE COUNCIL,-28.55413,153.54404,Private room,257,90,45,2023-06-12,1.25,5,360,15,Exempt
42716912,Boutique hotel in Brunswick Heads · ★4.56 · 1 bedroom · 2 beds · 1 bath,336949965,The Brunswick,,BYRON SHIRE COUNCIL,-28.55423,153.54295,Private room,360,90,9,2023-05-20,0.25,5,335,3,Exempt
42716927,Boutique hotel in Brunswick Heads · ★4.75 · 1 bedroom · 2 beds · 1 bath,336949965,The Brunswick,,BYRON SHIRE COUNCIL,-28.55404,153.5431,Private room,350,90,24,2023-01-10,0.66,5,359,6,Exempt
42717008,Boutique hotel in Brunswick Heads · ★4.76 · 1 bedroom · 1 bed · 1 bath,336949965,The Brunswick,,BYRON SHIRE COUNCIL,-28.5555,153.54298,Private room,206,90,46,2023-06-04,1.27,5,321,19,Exempt
42744033,Barn in Gulmarrad · ★5.0 · 1 bedroom · 1 bed · 1 bath,300906263,Allan,,CLARENCE VALLEY COUNCIL,-29.5045,153.21571,Entire home/apt,175,2,75,2023-06-12,2.28,1,82,32,PID-STRA-31965
42776206,Guesthouse in Byron Bay · ★5.0 · 1 bedroom · 1 bed · 1 bath,95663247,Jodie,,BYRON SHIRE COUNCIL,-28.63158,153.58761,Entire home/apt,450,3,4,2022-01-02,0.13,1,109,0,PID-STRA-31786
42791596,Guesthouse in Ocean Shores · ★5.0 · 1 bedroom · 1 bed · 1 bath,14209922,Megan,,BYRON SHIRE COUNCIL,-28.49422,153.54566,Entire home/apt,180,90,4,2021-04-10,0.12,3,88,0,
42801163,Home in Kingscliff · ★4.60 · 3 bedrooms · 3 beds · 2.5 baths,192774381,Kingscliff Accommodation,,TWEED SHIRE COUNCIL,-28.25969,153.57715,Entire home/apt,427,3,5,2022-07-25,0.15,94,28,1,PID-STRA-5746
42817002,Home in Yamba · 3 bedrooms · 5 beds · 1 bath,9837083,Meg,,CLARENCE VALLEY COUNCIL,-29.43647,153.33974,Entire home/apt,249,90,0,,,2,358,0,
42817589,Home in Pottsville · ★4.99 · 4 bedrooms · 4 beds · 2.5 baths,56783842,Anna,,TWEED SHIRE COUNCIL,-28.39149,153.56406,Entire home/apt,480,2,75,2023-06-04,2.48,3,323,40,PID-STRA-2268
42840274,Townhouse in Yamba · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,31188797,Nava,,CLARENCE VALLEY COUNCIL,-29.43799,153.35503,Entire home/apt,143,3,37,2023-06-02,0.95,17,327,12,PID-STRA-8496
42863456,Rental unit in Casuarina · ★4.75 · Studio · 1 bed · 1 bath,330079160,Ben,,TWEED SHIRE COUNCIL,-28.2948,153.57354,Entire home/apt,148,2,138,2023-04-23,3.68,3,338,37,Exempt
42864498,Guesthouse in Mount Warning · ★4.59 · 2 bedrooms · 3 beds · 1 bath,229904647,Mark,,TWEED SHIRE COUNCIL,-28.38985,153.32363,Entire home/apt,209,2,41,2023-02-15,1.22,3,7,8,PID-STRA-3950
42880822,Guesthouse in Mount Warning · ★4.43 · 2 bedrooms · 3 beds · 1 bath,229904647,Mark,,TWEED SHIRE COUNCIL,-28.38851,153.32496,Entire home/apt,165,90,37,2023-04-12,1.12,3,12,11,PID-STRA-3950
